serial,nchild,relate,age,child_age_1,child_age_2,child_age_3,child_age_4,child_age_5,child_age_6,child_age_7,child_age_8,child_age_9,child_sex_1,child_sex_2,child_sex_3,child_sex_4,child_sex_5,child_sex_6,child_sex_7,child_sex_8,child_sex_9,age_group
2000,2,2,37,10,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
13000,1,1,46,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
16000,1,2,47,12,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
19000,2,2,37,7,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
22000,1,1,63,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
23000,1,1,49,31,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
25000,2,2,56,34,33,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
26000,3,2,34,8,6,5,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,30-34
30000,2,2,41,4,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
31000,3,2,50,14,12,9,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,50+
33000,1,1,32,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
34000,2,2,54,25,21,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
36000,2,2,32,3,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,30-34
37000,1,1,39,11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
44000,2,2,48,14,10,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
46000,1,1,49,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
47000,2,1,38,8,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
51000,2,2,40,5,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
54000,1,1,55,22,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
55000,1,2,51,30,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
58000,1,1,80,59,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
64000,1,1,32,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
65000,2,1,29,7,5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,25-29
66000,1,2,57,28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
67000,1,1,37,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
73000,2,2,30,7,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,30-34
75000,1,2,54,18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
77000,2,2,36,4,3,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,35-39
78000,1,2,34,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
79000,2,2,37,8,4,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
81000,1,1,65,46,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
84000,2,2,30,4,0,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,30-34
85000,1,2,46,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
88000,2,2,40,15,12,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
95000,2,1,41,5,5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
97000,2,1,32,6,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,30-34
99000,2,2,46,16,8,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
102000,1,2,31,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
105000,3,1,49,15,14,10,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,45-49
106000,2,1,35,16,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
112000,2,1,41,12,10,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
113000,2,2,35,3,0,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
115000,3,2,49,19,18,14,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,45-49
118000,2,2,50,18,15,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
120000,2,2,32,7,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,30-34
127000,2,2,32,7,6,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,30-34
128000,2,2,44,11,9,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
134000,1,1,41,12,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
135000,2,2,52,23,18,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
136000,1,1,63,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
138000,2,2,51,15,13,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
139000,2,1,30,4,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,30-34
140000,1,2,53,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
141000,1,2,72,43,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
143000,3,1,38,5,4,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,35-39
145000,2,2,29,7,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,25-29
148000,1,2,70,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
149000,1,2,53,16,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
153000,2,2,39,16,15,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
154000,2,1,39,7,6,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
155000,2,2,37,11,7,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
160000,2,2,48,12,10,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
162000,1,2,56,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
164000,3,2,46,16,16,9,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,45-49
166000,2,2,50,27,28,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
167000,2,2,41,9,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
172000,1,2,32,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
173000,1,1,48,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
174000,2,2,50,17,12,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
175000,1,2,65,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
177000,1,1,85,52,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
178000,1,2,45,14,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
179000,2,2,50,17,14,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
182000,1,2,58,34,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
183000,1,1,47,21,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
185000,2,1,49,15,12,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
188000,2,1,31,5,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,30-34
192000,1,1,60,26,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
194000,3,2,45,16,12,9,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,45-49
195000,2,1,48,18,16,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
199000,1,1,52,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
201000,2,2,44,8,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
204000,1,1,52,24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
208000,3,2,60,25,22,16,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,50+
209000,2,1,40,14,11,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
211000,1,1,37,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
212000,1,2,74,48,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
217000,1,2,47,24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
223000,2,2,48,12,10,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
225000,2,1,51,25,18,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
227000,2,1,38,8,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,35-39
228000,2,2,47,20,11,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
230000,1,1,49,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
234000,1,2,58,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
235000,3,2,58,23,21,28,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,50+
236000,2,2,23,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,<25
237000,1,2,50,21,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
239000,1,1,44,17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40-44
240000,2,1,55,23,20,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
241000,2,1,32,9,7,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,30-34
242000,2,1,40,15,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
247000,1,2,58,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
248000,2,2,51,24,21,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
251000,1,2,30,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
252000,2,2,36,3,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
254000,2,2,45,18,13,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
257000,1,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,<25
262000,1,1,44,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
264000,1,2,77,54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
265000,2,2,50,26,29,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
266000,2,2,38,12,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
274000,2,2,45,21,13,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
277000,2,2,34,4,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,30-34
282000,1,2,70,34,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
284000,3,2,35,11,10,9,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,35-39
292000,2,2,36,6,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,35-39
298000,1,2,53,25,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
300000,1,2,40,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
302000,1,1,54,20,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
304000,3,2,33,5,2,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,30-34
305000,2,1,39,5,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,35-39
306000,3,2,32,7,5,2,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,30-34
308000,1,1,26,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
309000,1,2,28,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
310000,3,1,32,9,6,0,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,30-34
311000,1,2,70,39,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
313000,1,2,27,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
314000,1,2,50,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
318000,2,1,49,21,19,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
320000,2,2,45,14,10,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
321000,1,2,77,54,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
325000,1,1,48,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
326000,2,2,45,11,9,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
327000,1,1,49,16,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
328000,4,1,29,11,7,4,0,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,25-29
329000,1,1,44,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
331000,1,2,59,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
342000,2,1,60,34,29,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
344000,1,1,28,11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
345000,3,2,41,22,17,11,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,40-44
348000,2,2,39,15,14,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
350000,1,1,56,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
357000,2,1,57,28,24,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
359000,3,1,53,22,18,13,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,50+
364000,3,2,33,7,7,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,30-34
365000,4,2,32,16,13,11,9,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,30-34
366000,1,1,85,58,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
369000,3,2,40,14,6,3,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
370000,1,2,50,27,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
371000,2,2,43,13,9,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
372000,1,2,20,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,<25
373000,1,2,42,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
383000,1,1,35,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
385000,1,1,50,28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
386000,1,1,74,51,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
390000,1,1,62,38,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
391000,2,2,37,12,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
392000,3,2,47,15,14,14,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,45-49
395000,1,1,83,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
398000,1,1,36,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
399000,2,2,40,14,17,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
402000,2,1,85,57,61,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
406000,1,1,49,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
410000,1,1,36,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
411000,1,2,59,34,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
414000,1,1,58,24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
418000,3,2,54,30,23,20,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,50+
419000,3,2,31,13,5,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,30-34
421000,1,1,36,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
430000,1,2,51,28,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
431000,1,2,37,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
438000,1,1,54,26,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
441000,2,1,32,2,0,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,30-34
442000,2,2,38,10,6,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
445000,1,2,48,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
450000,1,1,31,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
455000,1,2,58,18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
456000,1,2,36,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
459000,3,2,56,23,23,25,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,50+
463000,2,1,44,18,12,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
467000,2,2,29,10,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,25-29
469000,1,1,45,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
471000,2,2,45,15,15,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
472000,2,2,57,33,31,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
473000,2,1,51,33,25,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
477000,3,2,40,11,7,4,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
480000,1,2,73,50,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
486000,1,1,36,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
488000,2,2,41,14,6,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
491000,3,2,41,15,13,10,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,40-44
493000,3,2,53,18,18,13,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,50+
495000,1,1,44,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
496000,2,2,39,16,12,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
500000,1,1,48,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
501000,2,2,43,14,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
504000,3,1,41,18,18,13,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
508000,1,1,55,27,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
510000,1,2,49,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
511000,3,2,26,4,2,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,25-29
514000,3,2,41,13,13,16,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
523000,1,1,44,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
527000,3,2,46,16,16,19,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,45-49
534000,1,2,36,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
536000,2,2,27,5,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,25-29
540000,2,2,44,16,14,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
542000,2,2,42,17,13,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
543000,2,1,32,10,8,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,30-34
544000,2,2,51,21,21,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
546000,2,2,50,29,28,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
548000,2,2,51,13,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
551000,1,1,70,37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
552000,3,2,47,18,17,14,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,45-49
555000,2,1,42,17,16,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
557000,1,2,52,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
561000,1,2,55,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
562000,2,2,33,7,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,30-34
566000,1,2,57,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
567000,2,2,42,21,19,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
568000,1,1,79,56,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
